Feature Name,Human Readable Name,Description
1h_resource_latency_1,Response Time > 1h,"More than 1 h between incident identification and resources arrive onsite (1 if yes, 0 otherwise)"
reaction_delay_ind_1,Delayed Response,"Indicator for whether there was any delay between incident identification and crew/resource arrival (1 if yes, 0 if otherwise)"
2h_resource_latency_1,Response Time > 2h,"More than 2 h between incident identification and resources arrive onsite (1 if yes, 0 otherwise)"
ACCIDENT_PRESSURE_PRESSURE_EXCEEDED_110__OF_MOP,Pressure >110% MOP,"Accident pressure exceeded 110% of the maximum operating pressure (MOP) (1 if yes, 0 otherwise)"
ACCIDENT_PRESSURE_PRESSURE_EXCEEDED_MOP__BUT_DID_NOT_EXCEED_110__OF_MOP,110% MOP >Pressure >MOP ,"Accident pressure exceeded MOP but did not exceed 110% (1 if yes, 0 otherwise)"
ACCIDENT_PSIG,Incident Pressure (psig),Natural log of (1 + Pressure at the time of incident in pounds per square inch (psig))
COMMODITY_REACHED_HCA_YES,Reached HCA,"Released commodity reached a High Consequence Area (HCA) (1 if yes, 0 otherwise)"
COMMODITY_RELEASED_TYPE_HVL_OR_OTHER_FLAMMABLE_OR_TOXIC_FLUID_WHICH_IS_A_GAS_AT_AMBIENT_CONDITIONS,Type: HVL/Gas,"Released commodity was HVL or a flammable/toxic gas at ambient conditions (1 if yes, 0 otherwise)"
COMMODITY_RELEASED_TYPE_OTHER,Type: Other,"Released commodity type was Carbon Dioxid or Biofuel / Alternative Fuel-including Ethanol Blends (1 if yes, 0 otherwise)"
COMMODITY_RELEASED_TYPE_REFINED_AND_OR_PETROLEUM_PRODUCT__NON_HVL__WHICH_IS_A_LIQUID_AT_AMBIENT_CONDITIONS,Type: Refined Liquid,"Released commodity was a refined/petroleum product that is liquid at ambient conditions (1 if yes, 0 otherwise)"
COULD_BE_HCA_YES,Could be HCA,"Incident location could be considered a High Consequence Area (HCA) (1 if yes, 0 otherwise)"
EXPLODE_IND_YES,Explosion Occurred,"Incident involved an explosion (1 if yes, 0 otherwise)"
FATALITY_IND_YES,Fatality,"At least one fatality occurred (1 if yes, 0 otherwise)"
IGNITE_IND_YES,Ignition Occurred,"Released material ignited (1 if yes, 0 otherwise)"
INJURY_IND_YES,Injury,"At least one injury occurred (1 if yes, 0 otherwise)"
LONG_TERM_ASSESSMENT_YES,Long-Term Assessment,"Long-term environmental assessment was required (1 if yes, 0 otherwise)"
NUM_PUB_EVACUATED,Public Evacuated (Count),Natural log of ( 1+ Number of people evacuated as a result of the incident)
PRPTY,Property Damage ,Natural log of (1 + Incident caused property damage($))
RECOVERED_BBLS,Recovered Volume (BBLs),Natural log of (1+ Volume of product recovered after the incident in barrels (BBLs)) 
UNINTENTIONAL_RELEASE_BBLS,Unintentional Release (BBLs),Natural log of (1+ Volume of product unintentionally released in barrels (BBLs)) 
WATER_CONTAM_IND_YES,Water Contaminated,"Water was contaminated as a result of the incident (1 if yes, 0 otherwise)"
WILDLIFE_IMPACT_IND_YES,Wildlife Impact,"Incident impacted wildlife (1 if yes, 0 otherwise)"
SOIL_CONTAMINATION_YES,Soil Contaminated,"Soil was contaminated as a result of the incident (1 if yes, 0 otherwise)"
REMEDIATION_IND_YES,Remediation Occurred,"Remediation actions were taken (1 if yes, 0 otherwise)"
CROSSING_YES,Crossing Involved,"Pipeline involved a crossing (e.g., road or water) (1 if yes, 0 otherwise)"
FEDERAL_YES,Federal Jurisdiction,"Pipeline was under federal jurisdiction (1 if yes, 0 otherwise)"
INCIDENT_AREA_TYPE_TANK__INCLUDING_ATTACHED_APPURTENANCES,Area Type: Tank/Appurtenances,"Incident occurred in a tank or attached appurtenance (1 if yes, 0 otherwise)"
