,Feature 1,Feature 2,Lasso Coefficient
27,ACCIDENT_PSIG,INCIDENT_AREA_TYPE_UNDERGROUND,0.215961667
21,ACCIDENT_PSIG,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,0.154591228
29,ACCIDENT_PSIG,SCADA_IN_PLACE_IND_YES,0.130348476
34,MOP_PSIG,SYSTEM_PART_INVOLVED_ONSHORE TERMINAL/TANK FARM EQUIPMENT AND PIPING,0.118945799
32,MOP_PSIG,CAUSE_OTHER ACCIDENT CAUSE,0.11469671
182,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",SCADA_IN_PLACE_IND_YES,-0.11445527
16,NUM_PUB_EVACUATED,LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.111763406
163,RELEASE_TYPE_OVERFILL OR OVERFLOW,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",0.109180692
39,PSIG,PIPE_FACILITY_TYPE_INTRASTATE,-0.105348935
184,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",SOIL_CONTAMINATION_YES,-0.104895029
47,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,-0.102528895
55,COMMODITY_RELEASED_TYPE_CRUDE OIL,INCIDENT_AREA_TYPE_UNDERGROUND,0.090594035
40,PSIG,CAUSE_MATERIAL FAILURE OF PIPE OR WELD,-0.085430372
107,CAUSE_NATURAL FORCE DAMAGE,REMEDIATION_IND_YES,-0.084808365
94,CAUSE_INCORRECT OPERATION,REMEDIATION_IND_YES,-0.080997602
66,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,0.080916302
57,COMMODITY_RELEASED_TYPE_CRUDE OIL,CPM_IN_PLACE_IND_YES,0.080822778
22,ACCIDENT_PSIG,CAUSE_INCORRECT OPERATION,0.080615492
30,ACCIDENT_PSIG,SOIL_CONTAMINATION_YES,0.076649201
13,PRPTY,LOCATION_TYPE_TOTALLY CONTAINED ON OPERATOR-CONTROLLED PROPERTY,0.072857603
81,CAUSE_EQUIPMENT FAILURE,FEDERAL_YES,0.068023184
19,ACCIDENT_PSIG,MOP_PSIG,-0.065903398
69,COMMODITY_RELEASED_TYPE_REFINED AND/OR PETROLEUM PRODUCT (NON-HVL) WHICH IS A LIQUID AT AMBIENT CONDITIONS,"INCIDENT_AREA_TYPE_TANK, INCLUDING ATTACHED APPURTENANCES",-0.064835777
11,PRPTY,CAUSE_INCORRECT OPERATION,0.064252886
160,RELEASE_TYPE_OTHER,WILDLIFE_IMPACT_IND_YES,-0.063606257
48,COMMODITY_RELEASED_TYPE_CO2 (CARBON DIOXIDE),CPM_IN_PLACE_IND_YES,0.063019819
148,COULD_BE_HCA_YES,MATERIAL_INVOLVED_MATERIAL OTHER THAN CARBON STEEL,-0.061171329
101,CAUSE_NATURAL FORCE DAMAGE,SYSTEM_PART_INVOLVED_ONSHORE PUMP/METER STATION EQUIPMENT AND PIPING,-0.05807591
38,MOP_PSIG,CROSSING_YES,0.057515428
